Category,Product name,Product Status,SKU#,Unit price,Final Price,Profit Margin,Wholesale,Store Manager,POS,Streamlit Implmentation,Website Implementation,Buy Button Links,Product Descriptions
Accessories,Divider,Removal Pending,O-DI,$2.00,$8.99,349.50%,TRUE,TRUE,TRUE,TRUE,TRUE,https://portal.veinternational.org/buybuttons/us019814/btn/divider-odi/,
Accessories,Ice Molds,Removal Pending,O-IM,$10.00,$19.99,99.90%,TRUE,TRUE,TRUE,TRUE,TRUE,https://portal.veinternational.org/buybuttons/us019814/btn/ice-molds-oim/,
Accessories,Shaker Ball,In Store,O-SB,$1.50,$7.99,432.67%,TRUE,TRUE,TRUE,TRUE,TRUE,https://portal.veinternational.org/buybuttons/us019814/btn/shaker-ball-osb/,
Accessories,The Anchor (Snack Compartment),In Store,O-AN,$3.65,$12.99,255.89%,TRUE,TRUE,TRUE,TRUE,TRUE,https://portal.veinternational.org/buybuttons/us019814/btn/the-anchor-snack-compartment-oan/,
Electrolytes,Surge IV (Blue Razzberry),In Store,SU-EL-1,$3.15,$19.99,534.60%,TRUE,TRUE,TRUE,TRUE,TRUE,https://portal.veinternational.org/buybuttons/us019814/btn/surge-iv-blue-razzberry-suel1/,hi,
Electrolytes,Surge IV (Fruit Punch),In Store,SU-EL-2,$3.15,$19.99,534.60%,TRUE,TRUE,TRUE,TRUE,TRUE,https://portal.veinternational.org/buybuttons/us019814/btn/surge-iv-fruit-punch-suel2/,
Electrolytes,Surge IV (Lemonade),In Store,SU-EL-3,$3.15,$19.99,534.60%,TRUE,TRUE,TRUE,TRUE,TRUE,https://portal.veinternational.org/buybuttons/us019814/btn/surge-iv-lemonade-suel3/,
Electrolytes,Surge IV (Pina Colada),In Store,SU-EL-4,$3.15,$19.99,534.60%,TRUE,TRUE,TRUE,TRUE,TRUE,https://portal.veinternational.org/buybuttons/us019814/btn/surge-iv-pina-colada-suel4/,
Electrolytes,Surge IV (Strawberry),In Store,SU-EL-5,$3.15,$19.99,534.60%,TRUE,TRUE,TRUE,TRUE,TRUE,https://portal.veinternational.org/buybuttons/us019814/btn/surge-iv-strawberry-suel5/,
Electrolytes,Surge IV (Tropical Vibes),In Store,SU-EL-6,$3.15,$19.99,534.60%,TRUE,TRUE,TRUE,TRUE,TRUE,https://portal.veinternational.org/buybuttons/us019814/btn/surge-iv-tropical-punch-suel6/,
